months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,policy_limit,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,auto_year,weather_condition,previous_claims,avg_past_claim_amount,max_past_claim_amount,tenure_days,vehicle_age,seasonal_factor,time_factor,weather_factor,total_claim_amount,frequency
87,59,PN00000010,2022-08-03,FL,500,3779.0099679318364,500000,100000,13538,Male,PhD,Engineer,Married,40793.5347120312,566.4360083413311,2024-08-11,Vandalism,Side-swipe,Major,23,1,3,0,True,Chevrolet,SUV,2008,Rain,1,6444.871397045569,6444.871397045569,739,16,1.0,1.2,1.3,12916.22552776596,2
75,59,PN00000011,2023-04-22,CA,250,818.4815156313746,500000,500000,48786,Female,Master,Teacher,Married,56517.63659434542,32541.3162491778,2021-02-05,Natural Disaster,Parked Car,Totaled,18,1,4,0,False,Chevrolet,SUV,2014,Rain,2,10206.268890742987,13306.283626201111,0,7,1.1,1.1,1.3,15617.850074882817,0
75,76,PN00000012,2021-02-11,NY,500,601.7695617388384,500000,100000,41866,Male,Master,Sales,Widowed,39235.16970209685,9029.309024040776,2017-03-18,Vandalism,Parked Car,Minor,14,1,4,3,False,Honda,Sedan,2008,Snow,0,0.0,0.0,0,9,1.05,1.0,1.5,3455.9518229095656,0
88,37,PN00000013,2015-12-23,CA,250,2588.8813999022627,500000,250000,85286,Female,PhD,Clerical,Married,90456.9574219486,9791.619900205389,2017-05-15,Theft,Rear-end,Minor,0,3,3,1,True,Honda,Coupe,2018,Clear,1,2205.621741979373,2205.621741979373,509,-1,1.05,1.2,1.0,16002.01243642534,2
117,34,PN00000014,2021-08-15,TX,1000,4060.340092554637,100000,100000,74317,Male,High School,Manager,Divorced,383.40303134413165,826.4813331867626,2018-10-23,Collision,Head-on,Major,4,2,0,3,True,Toyota,Convertible,2012,Rain,1,4956.9673162901145,4956.9673162901145,0,6,1.05,1.2,1.3,15440.189901133326,5
100,44,PN00000015,2019-09-25,TX,2000,1223.2373454469775,250000,500000,48085,Female,Bachelor,Manager,Single,40201.160336579786,28901.60191194594,2021-06-27,Vandalism,Parked Car,Major,2,1,4,1,False,Toyota,SUV,2014,Rain,1,10872.592899968004,10872.592899968004,641,7,1.0,1.2,1.3,6479.5286316469865,1
104,64,PN00000016,2015-05-11,FL,1000,4264.867724967153,500000,500000,99128,Male,Bachelor,Engineer,Married,74283.48742149156,28095.206572902858,2021-07-29,Collision,Side-swipe,Major,15,2,3,4,False,BMW,SUV,2016,Fog,1,3154.996970385374,3154.996970385374,2271,5,1.0,1.0,1.2,22463.284556392646,4
24,19,PN00000017,2015-05-03,NY,250,3454.5976494061824,1000000,500000,36744,Female,High School,Sales,Widowed,89089.11171339503,4821.7967018678255,2018-08-03,Theft,Head-on,Minor,7,3,4,4,False,Ford,Coupe,2017,Snow,1,17786.792206366907,17786.792206366907,1188,1,1.0,1.1,1.5,17434.821288652573,1
3,80,PN00000018,2016-01-19,NY,500,1994.7797950481854,250000,100000,32952,Female,PhD,Clerical,Divorced,35840.181759373816,2521.5319415055446,2023-01-17,Vandalism,Side-swipe,Totaled,18,4,0,4,True,Honda,Convertible,2010,Rain,0,0.0,0.0,2555,13,1.1,1.1,1.3,8338.392196896588,1
22,79,PN00000019,2017-06-14,NY,2000,2821.2160932160227,1000000,250000,36460,Male,Bachelor,Teacher,Divorced,67358.91293722611,24541.803704911297,2017-07-05,Collision,Parked Car,Minor,0,2,2,1,False,Toyota,Convertible,2005,Snow,0,0.0,0.0,21,12,1.0,1.2,1.5,6521.54603853385,0
53,36,PN00000020,2017-08-10,NY,500,4845.087408770323,100000,500000,73491,Female,High School,Engineer,Widowed,58034.87530183731,39064.520877888455,2016-05-01,Vandalism,Head-on,Minor,22,1,2,2,True,Ford,SUV,2020,Rain,2,11900.27012985115,19706.4403682214,0,-4,1.05,1.2,1.3,10937.437724016041,3
2,34,PN00000021,2020-08-31,FL,1000,1473.9663678455245,250000,500000,17422,Male,Master,Clerical,Married,20153.246653716084,47687.10857553697,2017-02-11,Theft,Rear-end,Major,3,2,1,4,True,Chevrolet,Coupe,2014,Fog,0,0.0,0.0,0,3,1.1,1.2,1.2,7785.696025879652,1
88,86,PN00000022,2021-10-01,CA,250,2747.909289848181,100000,100000,25358,Male,PhD,Clerical,Married,68094.43503484667,3757.7003271673902,2024-04-10,Vandalism,Parked Car,Totaled,16,3,4,3,False,Toyota,Sedan,2002,Fog,0,0.0,0.0,922,22,1.05,1.1,1.2,9500.777114619897,2
108,56,PN00000023,2015-04-19,FL,2000,3310.1895024842934,1000000,250000,79075,Female,Bachelor,Sales,Single,24956.46079665027,35408.602671299195,2016-08-04,Natural Disaster,Side-swipe,Major,11,3,0,4,False,Honda,SUV,2011,Clear,0,0.0,0.0,473,5,1.0,1.0,1.0,12411.590116023328,3
30,88,PN00000024,2021-04-17,CA,2000,1121.065724640498,250000,100000,78402,Female,PhD,Manager,Divorced,78390.76668240195,9572.347943738707,2016-10-06,Theft,Rear-end,Minor,21,4,1,3,True,BMW,SUV,2022,Fog,0,0.0,0.0,0,-6,1.05,1.0,1.2,7707.286844857637,0
38,56,PN00000025,2017-03-25,IL,250,695.8493988048933,250000,0,47046,Male,PhD,Sales,Divorced,86590.11951677313,1698.791015897566,2021-08-02,Natural Disaster,Side-swipe,Minor,20,4,4,0,True,BMW,Truck,2002,Rain,0,0.0,0.0,1591,19,1.0,1.0,1.3,4283.67458019117,0
2,53,PN00000026,2023-01-11,IL,250,560.5697881916208,100000,0,74618,Female,PhD,Engineer,Single,47842.22969482008,16738.569126432194,2023-08-09,Collision,Head-on,Totaled,2,2,3,1,True,Ford,Sedan,2005,Fog,0,0.0,0.0,210,18,1.0,1.2,1.2,9366.041154733948,1
64,57,PN00000027,2022-04-15,CA,2000,1961.117854700073,250000,500000,38094,Female,PhD,Engineer,Married,5412.459133397274,28694.066261020413,2016-04-19,Collision,Side-swipe,Totaled,7,1,3,0,False,Honda,Convertible,2019,Fog,1,6419.067081582949,6419.067081582949,0,-3,1.05,1.1,1.2,16687.28385316606,0
60,62,PN00000028,2022-11-12,FL,1000,832.7628251818942,1000000,100000,90452,Female,Bachelor,Sales,Married,73735.25589581886,30067.600734522854,2018-01-03,Collision,Side-swipe,Totaled,14,1,2,0,False,BMW,Truck,2014,Snow,2,15368.854797682097,18417.293931587836,0,4,1.1,1.0,1.5,8815.423364286651,0
21,21,PN00000029,2021-02-10,TX,1000,4116.964786435015,100000,100000,60951,Male,Bachelor,Clerical,Married,46721.51618068807,2460.096234064174,2020-04-16,Natural Disaster,Side-swipe,Minor,9,2,4,4,False,Honda,Coupe,2006,Rain,1,8205.160961126958,8205.160961126958,0,14,1.05,1.1,1.3,7849.319669744806,0
33,42,PN00000030,2019-09-15,FL,500,4987.937872227857,1000000,500000,75927,Male,High School,Manager,Married,9451.923007074825,46389.85612827189,2022-10-12,Theft,Head-on,Minor,19,4,4,3,True,Honda,SUV,2017,Rain,0,0.0,0.0,1123,5,1.05,1.0,1.3,10654.098825323072,1
76,86,PN00000031,2017-06-21,TX,2000,775.8671978050882,250000,0,78834,Female,Master,Engineer,Single,33113.70210714858,2729.4231300972137,2023-08-14,Natural Disaster,Side-swipe,Major,11,1,0,4,False,Chevrolet,Sedan,2011,Snow,0,0.0,0.0,2245,12,1.0,1.0,1.5,5214.454988918201,1
58,47,PN00000032,2020-01-14,FL,250,2447.268241700478,1000000,250000,88738,Male,Bachelor,Sales,Widowed,29064.11498597904,10859.593569482673,2019-09-01,Collision,Rear-end,Totaled,22,3,1,1,True,BMW,Convertible,2019,Rain,0,0.0,0.0,0,0,1.05,1.2,1.3,17674.510914584713,0
22,85,PN00000033,2021-08-10,NY,250,615.7945534215864,250000,250000,36991,Male,Master,Engineer,Widowed,72635.9398573897,21625.233130335302,2017-09-17,Theft,Parked Car,Minor,15,3,1,3,True,Honda,Truck,2018,Rain,1,7499.336005987712,7499.336005987712,0,-1,1.05,1.0,1.3,7316.408217824095,0
108,46,PN00000034,2018-02-13,NY,250,1102.9590084076845,1000000,0,47321,Male,Master,Manager,Divorced,42406.67048789956,47282.61706863448,2019-05-25,Collision,Rear-end,Totaled,14,4,1,2,True,Ford,Truck,2005,Rain,1,10214.170766627683,10214.170766627683,466,14,1.05,1.0,1.3,11732.827923950048,0
89,85,PN00000035,2015-01-27,IL,250,1953.1515240980332,1000000,500000,24518,Female,Bachelor,Teacher,Married,58704.76993500251,49561.623320705454,2022-12-22,Natural Disaster,Side-swipe,Totaled,5,3,2,3,False,Toyota,Convertible,2000,Snow,0,0.0,0.0,2886,22,1.1,1.0,1.5,20874.663587182105,1
49,68,PN00000036,2023-07-06,IL,2000,2271.6419587594246,500000,500000,91122,Female,Master,Teacher,Single,50109.86118968907,17.588418681047102,2022-12-27,Natural Disaster,Head-on,Major,22,1,4,4,False,Ford,SUV,2020,Rain,2,8389.373671775322,9902.657506460362,0,2,1.1,1.2,1.3,21252.750841886795,1
91,41,PN00000037,2016-10-15,CA,1000,4729.023258928881,250000,250000,87768,Female,High School,Clerical,Widowed,72425.6928239214,11225.78651667583,2017-01-29,Theft,Parked Car,Major,8,4,0,0,True,Chevrolet,Sedan,2012,Clear,1,7055.776296721707,7055.776296721707,106,5,1.1,1.1,1.0,9115.870172816323,1
59,31,PN00000038,2022-10-30,TX,500,2281.2656394060314,500000,250000,78679,Female,High School,Clerical,Widowed,71805.08457439255,25067.526816317903,2024-07-10,Vandalism,Parked Car,Totaled,6,1,3,0,False,BMW,Sedan,2005,Snow,0,0.0,0.0,619,19,1.0,1.0,1.5,9228.497373044924,1
42,86,PN00000039,2019-09-28,NY,1000,2733.2494657583097,500000,0,28943,Male,High School,Teacher,Single,44878.983242558315,34719.78021577454,2016-11-09,Collision,Side-swipe,Major,1,1,1,2,True,BMW,Truck,2010,Clear,0,0.0,0.0,0,6,1.05,1.2,1.0,10588.993817698156,1
92,35,PN00000040,2018-10-25,FL,500,1605.1251572323988,100000,0,25367,Male,Master,Manager,Divorced,13503.333179799836,32837.31339916598,2023-05-31,Vandalism,Head-on,Minor,2,4,3,2,False,Toyota,Convertible,2011,Clear,1,2124.542777778161,2124.542777778161,1679,12,1.05,1.2,1.0,3176.9769248118323,0
60,59,PN00000041,2018-02-12,CA,250,500.5631244045897,100000,100000,48840,Female,PhD,Sales,Single,40787.63554488548,12575.542681556162,2024-06-05,Theft,Rear-end,Totaled,7,1,1,1,False,BMW,Convertible,2001,Fog,0,0.0,0.0,2305,23,1.0,1.1,1.2,14487.621667077054,1
80,74,PN00000042,2016-09-28,FL,250,4547.005055299109,1000000,0,37347,Female,PhD,Sales,Divorced,16013.521590819835,9875.680469092596,2021-10-30,Theft,Side-swipe,Minor,14,4,1,2,True,Ford,Convertible,2002,Snow,1,19986.930195398927,19986.930195398927,1858,19,1.05,1.0,1.5,8669.169234517882,2
15,29,PN00000043,2017-05-31,NY,2000,867.7164066633717,250000,0,15894,Male,High School,Manager,Married,95915.79156053555,713.6950487345639,2024-08-09,Collision,Side-swipe,Minor,7,1,2,1,False,Chevrolet,Coupe,2006,Fog,0,0.0,0.0,2627,18,1.0,1.1,1.2,2481.069865790766,0
62,34,PN00000044,2023-07-25,NY,250,4839.119784663031,100000,250000,30525,Female,Bachelor,Sales,Divorced,95014.40980001373,42142.99435320837,2021-07-09,Vandalism,Side-swipe,Minor,17,4,2,1,True,BMW,SUV,2004,Clear,1,8807.375561069857,8807.375561069857,0,17,1.0,1.1,1.0,4747.6962329310645,2
62,47,PN00000045,2018-10-10,NY,2000,1088.7984684511712,500000,250000,51732,Female,Master,Clerical,Married,45668.56622855853,18939.851207406733,2024-11-21,Theft,Rear-end,Minor,6,4,0,1,True,Toyota,Coupe,2018,Clear,1,6903.62239189319,6903.62239189319,2234,6,1.05,1.0,1.0,5197.558348525155,0
47,40,PN00000046,2016-02-23,NY,2000,3221.953163376981,250000,100000,97448,Female,High School,Sales,Married,2762.787587637006,43217.039604700876,2021-03-23,Collision,Parked Car,Major,2,3,3,3,False,Toyota,SUV,2013,Clear,0,0.0,0.0,1855,8,1.05,1.2,1.0,5680.589957263864,0
62,18,PN00000047,2016-01-15,FL,2000,4997.3476453548665,1000000,250000,36026,Female,PhD,Sales,Married,37464.36895663974,16185.297375168539,2018-04-07,Vandalism,Rear-end,Totaled,5,3,0,3,False,Honda,Truck,2012,Snow,0,0.0,0.0,813,6,1.05,1.0,1.5,17749.46308664707,3
51,49,PN00000048,2019-04-06,CA,250,1123.0906823135415,1000000,250000,96670,Female,High School,Clerical,Single,89509.40086624643,37801.73941169095,2019-04-17,Collision,Rear-end,Totaled,22,1,3,0,True,Toyota,Sedan,2014,Rain,0,0.0,0.0,11,5,1.05,1.2,1.3,13773.38858736728,0
108,26,PN00000049,2016-02-01,NY,250,2407.743882229209,100000,250000,34255,Female,High School,Engineer,Widowed,28802.113591346235,3483.0530152662686,2023-06-04,Natural Disaster,Head-on,Totaled,19,4,3,4,False,Chevrolet,SUV,2010,Fog,1,5775.541352946802,5775.541352946802,2680,13,1.0,1.0,1.2,13055.593987793762,0
55,32,PN00000050,2019-01-10,IL,1000,4011.9065103716443,100000,0,15790,Male,High School,Teacher,Single,62197.984445860035,40572.037600079,2021-08-01,Vandalism,Parked Car,Major,19,4,4,3,True,Ford,SUV,2015,Clear,0,0.0,0.0,934,6,1.0,1.0,1.0,5323.1531350803625,1
116,45,PN00000051,2018-11-09,CA,500,644.8556743248572,100000,250000,20476,Male,PhD,Sales,Single,18393.72289045803,44550.61749908045,2021-07-01,Theft,Side-swipe,Major,16,4,2,3,True,Honda,Coupe,2007,Snow,0,0.0,0.0,965,14,1.0,1.1,1.5,5517.048976012222,0
64,41,PN00000052,2021-10-08,IL,1000,3604.0223801302004,1000000,500000,75106,Female,PhD,Teacher,Widowed,82516.42056848406,13244.017044069906,2021-08-29,Theft,Head-on,Minor,7,1,2,4,True,BMW,Coupe,2022,Clear,1,3240.177713530184,3240.177713530184,0,-1,1.0,1.1,1.0,12824.666579201288,1
3,77,PN00000053,2017-12-19,FL,250,861.6800205085976,500000,0,42555,Female,Bachelor,Teacher,Widowed,89189.73208646351,7093.247588014773,2018-12-07,Theft,Side-swipe,Minor,3,2,3,0,False,BMW,SUV,2023,Clear,0,0.0,0.0,353,-5,1.1,1.2,1.0,9264.059298865563,0
101,52,PN00000054,2015-06-27,NY,500,1564.3406402295186,100000,250000,29422,Male,PhD,Manager,Widowed,61511.96960302039,9807.24255366122,2022-01-30,Vandalism,Head-on,Totaled,11,3,4,1,False,Ford,Truck,2023,Fog,1,11529.616480417784,11529.616480417784,2409,-1,1.1,1.0,1.2,11363.293594931103,0
51,44,PN00000055,2023-03-08,CA,2000,1220.342731220122,1000000,0,65982,Male,High School,Manager,Widowed,62376.24806083829,43389.2313976324,2019-11-08,Vandalism,Head-on,Major,6,3,3,4,True,Honda,Sedan,2022,Clear,1,12654.353289938315,12654.353289938315,0,-3,1.05,1.0,1.0,10508.976221860454,0
7,37,PN00000056,2020-02-25,NY,500,4583.013942411213,250000,250000,67407,Female,PhD,Manager,Married,37856.002940311664,14310.287069777,2022-01-23,Collision,Rear-end,Minor,6,2,4,0,False,Chevrolet,Truck,2014,Clear,0,0.0,0.0,698,8,1.1,1.0,1.0,6023.418185710974,0
21,82,PN00000057,2021-01-05,NY,2000,1312.055225517564,1000000,100000,36902,Female,Bachelor,Engineer,Widowed,70709.13656205083,11567.724927876754,2022-02-16,Theft,Head-on,Major,0,2,4,3,False,Chevrolet,Coupe,2003,Clear,1,1926.7529669286628,1926.7529669286628,407,19,1.1,1.2,1.0,14090.658109105294,0
73,66,PN00000058,2016-05-26,CA,250,681.9534298182074,250000,100000,59201,Female,Master,Engineer,Single,47846.158652957514,48944.15308020428,2016-03-13,Natural Disaster,Head-on,Major,20,2,4,1,False,Chevrolet,SUV,2007,Snow,0,0.0,0.0,0,9,1.05,1.0,1.5,8372.635642294626,2
39,18,PN00000059,2019-03-31,NY,500,3144.3155530149297,250000,100000,55270,Male,Bachelor,Teacher,Married,74548.68679260567,33500.55569168429,2024-07-26,Natural Disaster,Parked Car,Minor,17,3,3,1,True,Ford,SUV,2003,Snow,0,0.0,0.0,1944,21,1.0,1.1,1.5,9276.512503563376,0
18,27,PN00000060,2015-11-19,NY,2000,2057.8141643436593,500000,250000,56716,Female,High School,Teacher,Single,96851.18957177506,41611.25214727015,2016-05-09,Vandalism,Parked Car,Minor,22,3,0,0,False,Ford,Sedan,2014,Fog,1,10234.22677813243,10234.22677813243,172,2,1.05,1.2,1.2,2011.5229082069786,0
4,64,PN00000061,2021-03-11,TX,1000,2325.677992886149,100000,100000,48947,Female,High School,Teacher,Married,82237.58640449466,37352.73043112227,2020-10-28,Natural Disaster,Head-on,Totaled,2,3,2,3,True,Chevrolet,Coupe,2014,Fog,1,21688.40694179523,21688.40694179523,0,6,1.05,1.2,1.2,20943.790985534506,0
89,76,PN00000062,2018-04-15,TX,1000,1035.7823518814614,250000,0,60826,Male,Master,Teacher,Married,51733.12446387938,18700.683151690522,2017-05-02,Theft,Parked Car,Minor,16,1,0,4,True,BMW,SUV,2012,Rain,1,8804.688635349778,8804.688635349778,0,5,1.05,1.1,1.3,5134.1864567973535,2
60,79,PN00000063,2022-01-18,CA,2000,3867.0552114493753,100000,100000,11591,Male,Bachelor,Clerical,Divorced,97888.85156165213,43137.31923187264,2020-04-20,Vandalism,Head-on,Totaled,10,4,0,1,True,Ford,Coupe,2001,Snow,1,3091.192025903595,3091.192025903595,0,19,1.05,1.0,1.5,13699.01910567328,0
14,35,PN00000064,2021-12-08,CA,1000,3206.991423395831,1000000,100000,14344,Female,High School,Teacher,Married,60708.22293683917,29408.45339521628,2021-01-17,Vandalism,Parked Car,Minor,1,3,4,2,True,BMW,Convertible,2010,Snow,0,0.0,0.0,0,11,1.1,1.2,1.5,9385.681878243822,0
114,63,PN00000065,2019-01-21,NY,1000,2138.97670136726,100000,100000,92653,Female,Bachelor,Manager,Divorced,6487.241956250334,32869.829859153346,2019-07-12,Natural Disaster,Parked Car,Minor,3,3,3,1,False,Honda,Convertible,2005,Snow,0,0.0,0.0,172,14,1.0,1.2,1.5,6614.664459856685,0
9,49,PN00000066,2021-06-22,IL,500,1272.087246934112,1000000,100000,15956,Male,PhD,Teacher,Divorced,73036.7623720168,16303.903195253411,2020-03-21,Vandalism,Head-on,Totaled,0,1,4,2,False,Chevrolet,Convertible,2023,Clear,2,9080.757285287233,15162.673143600345,0,-3,1.05,1.2,1.0,18488.411455247988,0
90,44,PN00000067,2017-02-26,CA,1000,3170.5328262675216,250000,0,29236,Female,PhD,Manager,Married,82006.21307505885,49058.19412185707,2020-12-17,Collision,Side-swipe,Minor,22,1,3,1,True,Chevrolet,Coupe,2002,Fog,0,0.0,0.0,1390,18,1.1,1.2,1.2,8087.418023636736,2
53,35,PN00000068,2022-11-25,NY,500,4003.687757783198,500000,500000,26851,Female,High School,Manager,Widowed,13483.940597032928,42730.09377001848,2021-02-25,Natural Disaster,Head-on,Minor,9,2,2,0,False,Ford,Convertible,2013,Snow,0,0.0,0.0,0,8,1.1,1.1,1.5,9281.525430032772,1
2,56,PN00000069,2015-10-12,IL,250,1905.787777402377,250000,100000,29192,Male,Master,Teacher,Widowed,67928.99664807349,7405.72168159302,2016-05-27,Theft,Head-on,Totaled,22,1,1,3,False,Ford,Truck,2010,Fog,1,14007.880748119043,14007.880748119043,228,6,1.05,1.2,1.2,21400.148463077723,0
84,66,PN00000070,2015-07-07,TX,1000,616.3717259236869,1000000,250000,67853,Female,PhD,Teacher,Single,92091.66407041928,10193.856974945536,2016-05-14,Natural Disaster,Side-swipe,Minor,23,4,2,4,False,Ford,Sedan,2010,Snow,0,0.0,0.0,312,6,1.05,1.2,1.5,6871.249083632007,0
92,61,PN00000071,2022-06-01,CA,250,1464.547931388428,250000,500000,66713,Male,Bachelor,Sales,Single,25142.595283617076,37429.18514717764,2017-12-25,Vandalism,Parked Car,Totaled,14,3,4,4,True,Chevrolet,Sedan,2023,Snow,0,0.0,0.0,0,-6,1.1,1.0,1.5,19604.93532769276,2
111,89,PN00000072,2017-07-22,NY,1000,3570.790185017732,500000,100000,45541,Female,High School,Manager,Divorced,58500.860886987284,1287.588283711294,2022-03-30,Vandalism,Rear-end,Minor,9,3,2,0,False,Honda,Convertible,2020,Snow,0,0.0,0.0,1712,2,1.05,1.1,1.5,10737.739456486444,3
60,71,PN00000073,2023-09-02,TX,2000,4950.933698556152,100000,500000,12857,Male,Master,Teacher,Married,27458.828465814124,16772.52131501241,2023-05-24,Natural Disaster,Rear-end,Totaled,15,4,4,3,False,BMW,Truck,2005,Fog,2,4012.0271895106343,4548.112171879639,0,18,1.05,1.0,1.2,11684.166849904588,3
71,51,PN00000074,2018-03-31,FL,2000,560.1930773394944,1000000,250000,29613,Male,High School,Teacher,Married,77440.74148073728,26625.926589134015,2024-09-27,Collision,Rear-end,Totaled,1,4,3,4,True,BMW,Convertible,2017,Rain,0,0.0,0.0,2372,7,1.05,1.2,1.3,12423.147779135408,1
44,88,PN00000075,2015-11-23,TX,250,1877.6910295944535,100000,250000,78701,Male,High School,Sales,Married,58066.00372246651,10245.554769812437,2019-05-26,Theft,Side-swipe,Major,7,2,1,0,False,Ford,Convertible,2018,Rain,1,11114.646879788888,11114.646879788888,1280,1,1.05,1.1,1.3,12966.399161644425,0
8,53,PN00000076,2017-08-11,NY,250,779.0939170197748,500000,100000,97829,Male,Master,Clerical,Divorced,42807.63477230423,43657.55636861509,2023-12-02,Vandalism,Head-on,Totaled,1,1,4,1,False,Chevrolet,Convertible,2001,Rain,2,10809.2723093845,16677.724257221184,2304,22,1.1,1.2,1.3,14810.85655552724,0
47,35,PN00000077,2016-02-18,IL,250,1923.5717949336447,250000,100000,87797,Female,Bachelor,Manager,Married,2898.7989036430295,44463.407701674376,2017-11-03,Theft,Head-on,Major,3,3,4,0,True,Chevrolet,Truck,2005,Rain,0,0.0,0.0,624,12,1.05,1.2,1.3,9867.56759655741,1
35,55,PN00000078,2019-04-06,FL,2000,2326.6145440733953,500000,250000,26549,Male,PhD,Manager,Single,94479.89479182464,47842.30736051742,2021-07-06,Natural Disaster,Side-swipe,Major,11,3,2,2,True,Honda,Coupe,2021,Clear,0,0.0,0.0,822,0,1.0,1.0,1.0,11160.38883406841,0
78,76,PN00000079,2018-02-12,FL,250,4643.879413758147,1000000,0,21633,Female,Bachelor,Sales,Widowed,49773.927297837974,7316.5445273367495,2020-10-30,Collision,Side-swipe,Minor,4,3,0,1,False,Chevrolet,Truck,2022,Clear,0,0.0,0.0,991,-2,1.05,1.2,1.0,10481.653729912,1
81,26,PN00000080,2020-02-01,FL,2000,862.5235973224044,1000000,500000,85103,Male,Master,Clerical,Divorced,80410.95431663959,3964.3770182466897,2017-07-04,Natural Disaster,Side-swipe,Major,14,4,0,3,False,Toyota,SUV,2021,Snow,1,5999.315563010558,5999.315563010558,0,-4,1.0,1.0,1.5,15994.888848082075,0
36,89,PN00000081,2022-02-16,CA,250,3997.103238795965,250000,0,86787,Male,Master,Engineer,Widowed,39189.491127140805,27804.725421560393,2019-07-03,Collision,Parked Car,Totaled,9,3,4,3,True,Chevrolet,Coupe,2021,Fog,0,0.0,0.0,0,-2,1.0,1.1,1.2,19863.322024599915,2
50,68,PN00000082,2019-02-03,NY,500,2279.9047822833354,1000000,100000,49457,Male,PhD,Sales,Divorced,84910.36370122236,39621.646557945496,2024-01-10,Theft,Rear-end,Totaled,10,4,0,1,False,Toyota,SUV,2012,Clear,1,7147.06815029199,7147.06815029199,1802,12,1.1,1.0,1.0,12236.225734258063,0
